Age,Number
AGE_0_9,22039
AGE_10_19,24583
AGE_20_29,25466
AGE_30_39,21233
AGE_40_49,21687
AGE_50_59,25967
AGE_60_69,25383
AGE_70_79,15209
AGE_80,9599
