Age,Number
AGE_0_9,10951
AGE_10_19,12094
AGE_20_29,12533
AGE_30_39,11793
AGE_40_49,12273
AGE_50_59,14889
AGE_60_69,14721
AGE_70_79,9085
AGE_80,5167
