Age,Number
AGE_0_9,946
AGE_10_19,1261
AGE_20_29,972
AGE_30_39,1027
AGE_40_49,1217
AGE_50_59,2014
AGE_60_69,2553
AGE_70_79,1801
AGE_80,896
