date,year,week,cases,deaths,doctor_visits,wili,wcli,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,symptom_Weakness
2020-02-03,2020,5,0.0,0.0,0.0,0.0,0.0,10.649999999999999,0.0,14.649999999999999,4.91,7.949999999999999,8.309999999999999,5.4,8.04,0.0,1.13,3.55,0.0,0.0,0.0
2020-02-10,2020,6,0.0,0.0,0.0,0.0,0.0,33.230000000000004,0.0,54.99,20.2,26.78,31.84,20.240000000000002,30.89,0.0,9.95,10.04,0.0,0.0,0.0
2020-02-17,2020,7,0.0,0.0,0.0,0.0,0.0,26.78,0.0,46.519999999999996,17.22,26.6,28.349999999999998,21.81,30.11,0.0,10.24,9.66,0.0,0.0,0.0
2020-02-24,2020,8,0.0,0.0,1.341319,0.0,0.0,26.48,0.0,43.35,15.66,28.72,29.53,19.36,28.63,0.0,6.390000000000001,8.72,0.0,0.0,0.0
2020-03-02,2020,9,0.0,0.0,4.980346,0.0,0.0,33.05,0.0,44.11,16.59,25.62,26.74,18.39,27.66,0.0,6.39,6.25,0.0,0.0,0.0
2020-03-09,2020,10,0.0,0.0,0.0,0.0,0.0,27.47,0.0,50.28,17.8,23.57,28.78,19.92,26.82,0.0,8.54,8.48,0.0,0.0,0.0
2020-03-16,2020,11,0.0,0.0,0.0,0.0,0.0,54.92,0.0,74.93,20.53,20.85,27.11,19.64,25.93,0.0,7.13,7.81,0.0,0.0,0.0
2020-03-23,2020,12,0.0,0.0,0.0,0.0,0.0,85.19,0.0,70.15,22.11,21.99,24.86,14.31,26.3,0.0,8.83,2.1799999999999997,0.0,0.0,0.0
2020-03-30,2020,13,15.0,0.0,0.442082,0.0,0.0,71.68,0.0,51.01,15.88,28.86,22.28,12.36,24.71,0.0,11.79,8.74,0.0,0.0,0.0
2020-04-06,2020,14,16.0,0.0,10.739312,0.0,0.0,59.46,0.0,41.29,14.89,26.0,22.37,13.82,24.67,0.0,12.17,10.32,0.0,0.0,0.0
2020-04-13,2020,15,16.0,0.0,16.937722,4.6258824999999995,4.6258824999999995,33.91,0.0,31.16,11.36,23.67,20.46,9.97,22.43,0.0,11.530000000000001,5.19,0.0,0.0,0.0
2020-04-20,2020,16,17.0,0.0,15.109069,3.1618095,5.0183482,25.759999999999998,0.0,22.77,8.66,27.37,21.6,14.5,17.73,0.0,8.530000000000001,8.21,0.0,0.0,0.0
2020-04-27,2020,17,18.0,0.0,52.496815,5.2659001,8.7978066,27.84,0.0,20.37,6.390000000000001,22.02,23.39,13.49,19.9,0.0,8.05,6.41,0.0,0.0,0.0
2020-05-04,2020,18,25.0,2.0,80.184595,2.2016874,2.2016874,27.0,0.0,19.13,3.32,24.57,19.919999999999998,12.120000000000001,16.99,0.0,6.09,8.23,0.0,0.0,0.0
2020-05-11,2020,19,20.0,0.0,55.019162,2.8293641000000003,2.8293641000000003,33.61,0.0,18.35,1.51,21.92,24.03,11.09,19.66,0.0,3.5700000000000003,9.63,0.0,0.0,0.0
2020-05-18,2020,20,9.0,1.0,13.823488000000001,0.0,0.0,34.95,0.0,16.26,0.9,22.46,21.05,11.05,18.3,0.0,8.14,7.98,0.0,0.0,0.0
2020-05-25,2020,21,10.0,0.0,14.32772,1.0884147,1.0884147,23.76,0.0,15.86,2.06,23.849999999999998,22.04,12.24,18.45,0.0,4.13,9.01,0.0,0.0,0.0
2020-06-01,2020,22,7.0,1.0,5.033533,1.3306962,1.3306962,17.14,0.0,13.77,2.42,20.89,21.71,11.600000000000001,19.15,0.0,8.31,9.05,0.0,0.0,0.0
2020-06-08,2020,23,38.0,1.0,6.884772,5.8896985,5.8896985,21.22,0.0,15.79,2.04,21.48,19.05,12.4,20.27,0.0,3.88,7.94,0.0,0.0,0.0
2020-06-15,2020,24,5.0,1.0,24.479862,5.1069166,5.1069166,16.98,0.0,13.129999999999999,1.94,21.490000000000002,25.490000000000002,12.94,24.0,0.0,10.15,7.83,0.0,0.0,0.0
2020-06-22,2020,25,2.0,0.0,12.517449000000001,0.0,0.3720541,20.23,0.0,12.34,5.52,22.79,28.27,13.290000000000001,22.549999999999997,0.0,3.78,8.93,0.0,0.0,0.0
2020-06-29,2020,26,12.0,0.0,13.741214,2.6882080999999998,3.3315712,19.64,0.0,18.18,5.88,23.34,26.43,12.15,26.86,0.0,2.79,8.31,0.0,0.0,0.0
