date,year,week,cases,deaths,doctor_visits,wili,wcli,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,symptom_Weakness
2020-02-03,2020,5,0.0,0.0,0.0,0.0,0.0,10.19,0.47,14.09,4.85,8.219999999999999,7.949999999999999,6.3,8.07,1.2,2.23,3.02,0.35,0.17,0.69
2020-02-10,2020,6,0.0,0.0,0.270102,0.0,0.0,34.51,1.96,50.58,16.86,27.439999999999998,29.33,21.53,27.76,4.57,8.71,10.46,1.5799999999999998,1.01,2.54
2020-02-17,2020,7,0.0,0.0,2.750657,0.0,0.0,33.6,1.95,48.44,16.32,27.52,28.42,20.51,27.21,4.46,8.379999999999999,10.07,1.52,0.76,2.61
2020-02-24,2020,8,0.0,0.0,0.0,0.0,0.0,32.42,1.91,47.43,16.11,27.81,28.85,20.9,28.3,4.57,8.62,9.86,1.27,1.51,2.63
2020-03-02,2020,9,0.0,0.0,0.0,0.0,0.0,32.88,1.6,48.68,16.35,27.95,28.49,21.04,28.33,4.7,8.67,10.58,1.6400000000000001,1.13,2.82
2020-03-09,2020,10,0.0,0.0,0.0,0.0,0.0,33.51,1.6600000000000001,49.71,16.26,25.34,27.3,21.3,27.89,4.9399999999999995,8.469999999999999,9.57,2.25,1.33,2.25
2020-03-16,2020,11,5.0,0.0,0.0,0.0,0.0,66.28,3.6100000000000003,78.13,22.11,24.23,26.74,19.38,29.7,8.31,9.08,8.71,1.97,0.9199999999999999,2.55
2020-03-23,2020,12,17.0,0.0,1.459211,0.0,0.0,94.72999999999999,5.0600000000000005,73.15,23.68,26.23,22.69,15.99,26.6,11.97,11.06,8.18,1.22,0.76,2.19
2020-03-30,2020,13,50.0,0.0,9.321294,0.0,0.0,61.279999999999994,3.92,50.260000000000005,15.899999999999999,25.98,22.14,14.33,23.33,11.01,11.76,8.23,1.24,0.78,2.18
2020-04-06,2020,14,93.0,3.0,21.976111,0.0,0.0,49.23,2.96,41.52,13.14,27.950000000000003,24.45,13.45,21.89,9.49,11.9,8.43,1.1400000000000001,0.88,2.15
