date,year,week,cases,deaths,doctor_visits,wili,wcli,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,symptom_Weakness
2020-02-03,2020,5,0.0,0.0,0.0,0.0,0.0,8.14,0.43,13.42,4.23,7.25,7.35,5.98,7.75,1.34,2.37,2.45,0.37,0.38,0.6
2020-02-10,2020,6,0.0,0.0,0.0,0.0,0.0,27.47,1.43,47.1,14.44,25.37,26.79,21.39,25.93,4.62,8.39,9.19,1.52,1.32,2.29
2020-02-17,2020,7,0.0,0.0,0.0,0.0,0.0,27.34,1.36,47.03,14.59,25.4,26.78,21.080000000000002,25.27,4.47,8.58,9.42,1.4100000000000001,1.29,2.48
2020-02-24,2020,8,0.0,0.0,0.0,0.0,0.0,26.82,1.38,45.86,14.87,26.27,28.14,21.41,25.740000000000002,4.88,8.74,9.959999999999999,1.49,1.15,2.48
2020-03-02,2020,9,0.0,0.0,0.0,0.0,0.0,28.4,1.28,47.01,14.15,25.49,26.18,20.189999999999998,25.89,4.68,8.15,9.08,1.4,1.25,2.7199999999999998
2020-03-09,2020,10,0.0,0.0,0.0,0.0,0.0,27.18,1.2,46.9,14.79,24.43,26.67,19.8,24.85,4.9399999999999995,8.15,8.92,2.08,1.2,2.4
2020-03-16,2020,11,13.0,0.0,0.854899,0.0,0.0,61.01,3.2199999999999998,79.86,20.64,23.09,26.9,18.51,27.240000000000002,8.57,8.87,7.45,1.78,1.03,2.51
2020-03-23,2020,12,464.0,5.0,11.990718,0.0,0.0,96.3,5.42,82.12,25.41,27.44,24.48,16.68,27.13,12.5,12.1,7.34,1.1400000000000001,0.98,2.43
2020-03-30,2020,13,2227.0,51.0,27.631391,0.0,0.0,89.66,6.02,78.62,20.73,33.97,25.67,16.44,25.56,14.68,15.09,8.46,1.3599999999999999,0.9400000000000001,2.7
2020-04-06,2020,14,4814.0,237.0,41.811068,0.0,0.0,65.34,4.07,63.83,16.88,32.85,26.259999999999998,15.32,24.71,12.58,14.209999999999999,8.72,1.23,1.01,2.72
2020-04-13,2020,15,3646.0,411.0,56.468647000000004,6.891892,6.7099377,44.6,2.95,45.75,13.23,30.04,23.82,14.37,21.84,9.74,12.44,8.68,1.1700000000000002,0.96,2.04
2020-04-20,2020,16,2528.0,415.0,40.1257,7.2226513,6.9770676,31.44,1.9300000000000002,33.18,10.05,26.6,22.34,13.84,20.130000000000003,6.86,10.32,8.209999999999999,1.57,0.99,2.0
2020-04-27,2020,17,2056.0,461.0,53.023553,5.3691902,5.2267739,28.63,1.45,28.619999999999997,9.23,26.79,23.89,13.969999999999999,20.259999999999998,6.28,9.77,8.16,1.47,1.01,2.13
2020-05-04,2020,18,1550.0,313.0,51.630961,4.292976400000001,4.0817365,26.01,1.33,23.69,7.5200000000000005,25.23,23.17,13.64,19.009999999999998,5.73,9.06,7.78,1.28,0.91,2.12
2020-05-11,2020,19,777.0,204.0,39.655152,3.8924314,4.1187022,33.47,1.08,21.82,7.7700000000000005,22.47,22.72,13.39,18.35,5.27,8.37,7.57,1.27,0.91,1.94
2020-05-18,2020,20,990.0,116.0,27.241886,5.3173709,5.2895363,29.94,1.1,20.75,7.37,22.34,22.13,13.55,19.16,5.15,8.24,7.45,1.27,1.05,2.0700000000000003
2020-05-25,2020,21,706.0,146.0,25.791766000000003,3.2891,3.2999188,22.48,1.04,18.34,6.86,22.38,21.75,13.549999999999999,19.2,4.79,7.78,7.68,1.37,0.9,2.03
2020-06-01,2020,22,644.0,102.0,24.111339,3.0768927,3.0850498,18.62,0.9400000000000001,16.5,6.54,21.2,22.240000000000002,12.77,19.15,4.66,7.62,7.46,1.47,0.99,2.18
2020-06-08,2020,23,972.0,167.0,11.975389,2.7611267,2.8073299,21.02,0.85,15.36,6.449999999999999,20.54,22.11,12.9,19.07,4.42,7.33,7.69,1.47,1.01,2.17
2020-06-15,2020,24,362.0,42.0,11.545987,3.9404674,4.0993688,18.61,0.85,15.72,6.54,20.73,23.23,13.43,19.67,4.23,7.73,7.93,1.38,1.02,2.22
2020-06-22,2020,25,390.0,17.0,14.387287,3.4357531,3.2106895,18.6,1.03,16.08,6.71,21.490000000000002,23.73,14.33,21.11,4.06,7.45,8.17,1.31,0.79,2.25
2020-06-29,2020,26,482.0,23.0,17.242628,2.2824,2.1444291,20.83,1.18,20.7,7.4799999999999995,22.37,25.36,14.48,22.85,4.47,7.5200000000000005,8.68,1.28,1.02,2.37
2020-07-06,2020,27,561.0,18.0,35.906208,2.9561349,2.520496,21.34,1.28,18.3,8.15,22.23,24.98,14.65,22.89,4.5,8.09,8.85,1.41,0.99,2.36
2020-07-13,2020,28,814.0,31.0,44.402546,3.7584532999999998,3.6919168,23.19,1.46,18.509999999999998,8.36,22.7,24.78,14.82,22.39,4.8,7.99,9.48,1.37,0.99,2.3
2020-07-20,2020,29,1140.0,22.0,49.956616000000004,2.2526003,2.4654925,23.97,1.34,19.91,8.93,23.95,25.31,15.17,22.18,4.83,8.14,9.33,1.46,1.09,2.64
2020-07-27,2020,30,948.0,1.0,48.724711,3.2976406000000003,3.3488928,21.37,1.31,18.41,8.74,23.89,25.57,15.21,22.98,4.29,7.93,9.32,1.27,1.07,2.58
2020-08-03,2020,31,1150.0,20.0,51.606795,2.7408553,2.6640536,22.46,1.29,19.98,9.01,23.31,25.17,15.2,23.65,4.62,8.16,9.13,1.34,1.09,2.5
2020-08-10,2020,32,929.0,22.0,66.398996,2.4714472,1.9974486,22.02,1.1600000000000001,20.02,8.82,23.74,25.79,15.309999999999999,23.62,4.4,8.16,8.99,1.35,1.02,2.4
2020-08-17,2020,33,948.0,15.0,63.211442,3.2888969,3.2751242,20.97,1.3,19.92,9.11,23.26,25.28,14.6,22.759999999999998,4.31,8.49,9.08,1.3,1.06,2.4899999999999998
2020-08-24,2020,34,902.0,18.0,62.543226,3.9666159,4.0200733,24.65,1.12,24.3,8.66,23.86,25.13,14.52,22.72,4.07,7.73,9.2,1.3800000000000001,1.08,2.73
2020-08-31,2020,35,1140.0,24.0,52.823386,3.6843268,3.8438499,18.81,0.89,18.27,7.99,22.77,24.24,14.51,22.2,3.96,7.65,8.76,1.2,0.96,2.37
2020-09-07,2020,36,805.0,15.0,48.633965,4.4711328,4.4169702,18.47,0.9500000000000001,18.0,7.550000000000001,22.67,24.61,13.78,21.34,4.12,7.55,8.61,1.51,1.09,2.27
2020-09-14,2020,37,1293.0,45.0,65.332106,5.2065397,5.2011926,17.47,0.91,18.17,7.32,22.08,23.89,13.66,20.69,4.11,7.430000000000001,8.79,1.5,1.13,2.26
2020-09-21,2020,38,831.0,14.0,49.716589,0.6244449,0.7104726,18.39,0.93,19.19,7.75,21.33,24.56,13.52,20.09,4.07,7.050000000000001,8.2,1.77,1.1,2.27
