Age,Number
AGE_0_9,2637
AGE_10_19,3091
AGE_20_29,2478
AGE_30_39,2441
AGE_40_49,2600
AGE_50_59,3383
AGE_60_69,3407
AGE_70_79,2229
AGE_80,1057
