Age,Number
AGE_0_9,157479
AGE_10_19,146606
AGE_20_29,185372
AGE_30_39,199081
AGE_40_49,153582
AGE_50_59,160650
AGE_60_69,137526
AGE_70_79,70879
AGE_80,44121
