date,cases,deaths,doctor_visits,wili,wcli,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,symptom_Weakness
2020-02-01,,,,,,5.58,,8.53,,7.21,6.89,,,,,,,,
2020-02-02,,,,,,5.51,,9.4,,,,,4.86,,,,,,
2020-02-03,,,,,,6.85,,10.15,,6.35,7.87,,4.32,,,,,,
2020-02-04,,,,,,8.14,,9.66,,6.87,,,,,,,,,
2020-02-05,,,,,,7.8,,11.06,,5.03,3.52,,,,,,,,
2020-02-06,,,,,,7.51,,9.32,,6.21,4.66,,,,,,,,
2020-02-07,,,,,,10.28,,11.34,,,6.06,,,,,,,,
2020-02-08,,,,,,4.67,,9.02,,,7.01,,,,,,,,
2020-02-09,,,,,,7.58,,13.59,,6.0,4.74,,,,,,,,
2020-02-10,,,,,,4.34,,14.46,,,5.78,,4.92,,,,,,
2020-02-11,,,,,,9.22,,12.39,,6.05,6.05,,5.48,,,,,,
2020-02-12,,,,,,5.06,,10.62,,4.05,4.81,,5.31,,,,,,
2020-02-13,,,,,,11.31,,8.23,,4.88,4.37,,4.37,,,,,,
2020-02-14,,,,,,4.91,,12.01,,4.09,,,3.82,,,,,,
2020-02-15,,,,,,6.08,,11.48,,4.72,5.4,,5.74,,,,,,
2020-02-16,,,,,,4.76,,11.74,,6.34,,,5.08,,,,,,
2020-02-17,,,,,,,,10.36,,5.18,6.41,,6.41,,,,,,
2020-02-18,,,,,,6.43,,12.59,,,6.99,,,,,,,,
2020-02-19,,,,,,,,7.13,,3.96,8.98,,4.76,,,,,,
2020-02-20,0.0,0.0,,,,6.21,,8.54,,,4.66,,,,,,,,
2020-02-21,0.0,0.0,,,,6.36,,10.87,,,5.57,,3.98,,,,,,
2020-02-22,0.0,0.0,,,,,,11.52,,8.03,5.93,,5.93,,,,,,
2020-02-23,0.0,0.0,,,,4.62,,9.24,,5.61,4.95,,5.94,,,,,,
2020-02-24,0.0,0.0,,,,5.76,,10.27,,5.51,6.51,,4.51,,,,,,
2020-02-25,0.0,0.0,,,,4.56,,6.59,,,3.55,,3.8,,,,,,
2020-02-26,0.0,0.0,,,,3.88,,8.23,,,5.33,,6.54,,,,,,
2020-02-27,0.0,0.0,,,,9.19,,7.5,,7.01,5.8,,4.11,,,,,,
2020-02-28,0.0,0.0,,,,5.86,,7.64,,5.86,5.09,,3.56,,,,,,
2020-02-29,0.0,0.0,,,,,,8.49,,,5.43,,6.45,,,,,,
2020-03-01,0.0,0.0,,,,5.44,,7.04,,,5.44,,,,,,,,
