Age,Number
AGE_0_9,5397
AGE_10_19,5787
AGE_20_29,4772
AGE_30_39,5869
AGE_40_49,5142
AGE_50_59,6836
AGE_60_69,6501
AGE_70_79,3399
AGE_80,2627
