Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,207
FINANCEINSURANCE,908
REALESTATERENTAL,160
SCIENTIFICTECHNICAL,836
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,827
EDUCATION,0
HEALTHCARE,3462
ART,541
FOOD,2870
OTHER,498
