Age,Number
AGE_0_9,88114
AGE_10_19,86365
AGE_20_29,99259
AGE_30_39,93139
AGE_40_49,76309
AGE_50_59,81351
AGE_60_69,69228
AGE_70_79,36167
AGE_80,22685
