Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,5575
FINANCEINSURANCE,16305
REALESTATERENTAL,4153
SCIENTIFICTECHNICAL,15987
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,55592
EDUCATION,1478
HEALTHCARE,55229
ART,4892
FOOD,30415
OTHER,9907
