Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,136
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,113
FINANCEINSURANCE,411
REALESTATERENTAL,233
SCIENTIFICTECHNICAL,1684
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,1359
EDUCATION,70
HEALTHCARE,3346
ART,226
FOOD,3006
OTHER,784
