Age,Number
AGE_0_9,14806
AGE_10_19,15979
AGE_20_29,13555
AGE_30_39,13936
AGE_40_49,14483
AGE_50_59,17025
AGE_60_69,14494
AGE_70_79,8901
AGE_80,3925
