Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,598
FINANCEINSURANCE,1449
REALESTATERENTAL,656
SCIENTIFICTECHNICAL,2059
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,2644
EDUCATION,111
HEALTHCARE,9499
ART,921
FOOD,6404
OTHER,1325
