Age,Number
AGE_0_9,1555
AGE_10_19,1245
AGE_20_29,1277
AGE_30_39,1346
AGE_40_49,1353
AGE_50_59,2139
AGE_60_69,2716
AGE_70_79,1505
AGE_80,768
