Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,110
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,134
FINANCEINSURANCE,230
REALESTATERENTAL,361
SCIENTIFICTECHNICAL,175
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,497
EDUCATION,7
HEALTHCARE,1399
ART,102
FOOD,1099
OTHER,218
