Age,Number
AGE_0_9,2963
AGE_10_19,3492
AGE_20_29,2957
AGE_30_39,3112
AGE_40_49,3082
AGE_50_59,4119
AGE_60_69,4710
AGE_70_79,3070
AGE_80,1557
