Age,Number
AGE_0_9,31870
AGE_10_19,42185
AGE_20_29,62128
AGE_30_39,36688
AGE_40_49,29757
AGE_50_59,31800
AGE_60_69,31017
AGE_70_79,16380
AGE_80,9098
