Age,Number
AGE_0_9,1845
AGE_10_19,1960
AGE_20_29,1604
AGE_30_39,1830
AGE_40_49,1854
AGE_50_59,2379
AGE_60_69,2519
AGE_70_79,1304
AGE_80,910
