Age,Number
AGE_0_9,1029
AGE_10_19,1093
AGE_20_29,968
AGE_30_39,1038
AGE_40_49,1255
AGE_50_59,1874
AGE_60_69,2238
AGE_70_79,1588
AGE_80,722
