Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,174
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,40
FINANCEINSURANCE,181
REALESTATERENTAL,156
SCIENTIFICTECHNICAL,222
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,208
EDUCATION,0
HEALTHCARE,1322
ART,183
FOOD,1665
OTHER,211
