Age,Number
AGE_0_9,20821
AGE_10_19,24265
AGE_20_29,21237
AGE_30_39,21427
AGE_40_49,24343
AGE_50_59,31395
AGE_60_69,25869
AGE_70_79,14662
AGE_80,6813
