Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,627
FINANCEINSURANCE,3956
REALESTATERENTAL,540
SCIENTIFICTECHNICAL,2882
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,3092
EDUCATION,277
HEALTHCARE,6075
ART,1144
FOOD,6151
OTHER,1795
