Age,Number
AGE_0_9,2109
AGE_10_19,2541
AGE_20_29,2216
AGE_30_39,2384
AGE_40_49,2433
AGE_50_59,3572
AGE_60_69,3997
AGE_70_79,2229
AGE_80,1421
