Age,Number
AGE_0_9,21447
AGE_10_19,22422
AGE_20_29,16012
AGE_30_39,21008
AGE_40_49,21731
AGE_50_59,21176
AGE_60_69,13099
AGE_70_79,6607
AGE_80,3699
