Age,Number
AGE_0_9,3203
AGE_10_19,3459
AGE_20_29,2819
AGE_30_39,2716
AGE_40_49,2954
AGE_50_59,3707
AGE_60_69,3979
AGE_70_79,2553
AGE_80,1155
