Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,18
FINANCEINSURANCE,112
REALESTATERENTAL,29
SCIENTIFICTECHNICAL,88
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,37
EDUCATION,0
HEALTHCARE,689
ART,0
FOOD,644
OTHER,108
