Age,Number
AGE_0_9,3490
AGE_10_19,4292
AGE_20_29,3568
AGE_30_39,3712
AGE_40_49,3894
AGE_50_59,4993
AGE_60_69,6485
AGE_70_79,3269
AGE_80,2171
