Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,31
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,172
FINANCEINSURANCE,723
REALESTATERENTAL,56
SCIENTIFICTECHNICAL,351
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,664
EDUCATION,9
HEALTHCARE,1958
ART,115
FOOD,1304
OTHER,410
