Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,1017
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,398
FINANCEINSURANCE,1325
REALESTATERENTAL,988
SCIENTIFICTECHNICAL,1005
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,1970
EDUCATION,130
HEALTHCARE,7724
ART,0
FOOD,5025
OTHER,837
