Age,Number
AGE_0_9,7484
AGE_10_19,8836
AGE_20_29,8520
AGE_30_39,9027
AGE_40_49,8096
AGE_50_59,8463
AGE_60_69,7848
AGE_70_79,4191
AGE_80,1936
