Age,Number
AGE_0_9,226461
AGE_10_19,229202
AGE_20_29,248290
AGE_30_39,214558
AGE_40_49,216824
AGE_50_59,235015
AGE_60_69,203838
AGE_70_79,111934
AGE_80,66937
