Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,12972
FINANCEINSURANCE,42120
REALESTATERENTAL,7082
SCIENTIFICTECHNICAL,52156
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,58038
EDUCATION,2284
HEALTHCARE,111962
ART,9881
FOOD,71006
OTHER,18581
