297,962
297,27354
962,2193
2193,3439
3439,4015
4015,4324
4324,4474
4474,4580
4580,4660
4660,21677
4665,4799
4799,4911
4911,21047
5693,5715
5715,5897
5897,6157
6157,6388
6388,6719
6719,7010
7010,7530
7530,7787
7787,7875
7787,16206
7875,7958
7958,8002
8002,8021
8021,8025
8025,9162
9162,9315
9315,9547
9547,15384
9678,9899
9899,10713
10713,10795
10795,21064
10802,10819
10819,10826
10826,16206
11357,12042
12042,12420
12420,12633
12633,13538
13538,13850
13850,13874
13850,24847
13874,13881
13881,13957
13957,14045
14045,14107
14107,14324
14324,14443
14443,14552
14552,14792
14792,14981
14981,15125
15125,15384
15384,25502
15626,16064
16064,16113
16113,16206
16310,16333
16333,16560
16560,16562
16562,16602
16602,16883
16883,17039
17039,17177
17177,17208
17208,17276
17276,17345
17345,17470
17470,17487
17487,18092
18092,18358
18358,18648
18648,18770
18770,18901
18901,19987
19987,20249
20249,20587
20587,20744
20744,20874
20874,21044
21044,21047
21047,21064
21064,21241
21241,21370
21370,21677
21677,21745
21745,21746
21746,22212
22212,22833
22833,22908
22908,23444
23444,24625
24625,24847
25502,26198
26198,26320
26320,26473
26473,26923
26923,27063
27063,27072
27072,27308
27308,27354
