1152,14747
1152,27396
1152,589
1152,27166
1152,1039
1152,26987
1152,1146
1152,1405
1152,1442
1152,3576
14747,589
14747,1039
14747,27396
14747,1146
14747,27166
14747,11888
14747,14143
14747,14168
14747,14185
14747,15219
14747,15523
14747,15981
589,1146
589,27396
589,23022
1039,1146
1039,1405
1146,1405
1146,1442
1405,1442
1405,1496
1405,1521
1442,1496
1442,1521
1442,1747
1496,1521
1496,1747
1496,2036
1521,2036
1521,2309
1521,20498
1747,2036
1747,2309
1747,2376
1747,11872
2036,2309
2036,2376
2036,2416
2309,2376
2309,2416
2309,2710
2376,2416
2376,2710
2376,2891
2416,2710
2416,2891
2416,3005
2416,4506
2710,2891
2710,3005
2710,3057
2891,3005
2891,3057
2891,3136
3005,3057
3005,3136
3005,25284
3057,3136
3057,3576
3057,3750
3057,5684
3136,3576
3136,3750
3136,4024
3576,3750
3576,4024
3576,4058
3750,4024
3750,4058
3750,4133
4024,4058
4024,4133
4024,4446
4058,4133
4058,4446
4058,4459
4133,4446
4133,4459
4133,4503
4446,4459
4446,4503
4446,6578
4459,4503
4459,4506
4459,4653
4503,4506
4503,4653
4503,4699
4506,4653
4506,4793
4653,4699
4653,4947
4653,22356
4699,4793
4699,4947
4699,5403
4699,17643
4793,4947
4793,5403
4793,5586
4947,5586
4947,5618
4947,24687
5403,5586
5403,5618
5403,5684
5586,5618
5586,5684
5586,5730
5618,5684
5618,5730
5618,5733
5684,5730
5684,5846
5730,5733
5730,5846
5730,5958
5733,5958
5733,25575
5733,8627
5846,5958
5846,5993
5846,6096
5846,18014
5958,5993
5958,6096
5958,6328
5993,6096
5993,6328
5993,6563
5993,6578
6096,6328
6096,6563
6096,6578
6328,6563
6328,6578
6328,6613
6563,6578
6563,6613
6563,6775
6578,6775
6578,6835
6578,26066
6613,6775
6613,6835
6613,6868
6775,6835
6775,6868
6775,6881
6835,6868
6835,6881
6835,7050
6835,20445
6868,6881
6868,7050
6868,7168
6881,7050
6881,7168
6881,7419
7050,7168
7050,7682
7050,17931
7168,7419
7168,7682
7168,21272
7419,7682
7419,7737
7419,7911
7419,10008
7419,10464
7682,7737
7682,7911
7682,7915
7737,7911
7737,7915
7737,8215
7737,13592
7911,8215
7911,8462
7911,11380
7915,8215
7915,8462
7915,8627
8215,8462
8215,8627
8215,8784
8462,8627
8462,8784
8462,8906
8627,8784
8627,8906
8627,9347
8784,8906
8784,9347
8784,9355
8906,9347
8906,9355
8906,9566
9347,9355
9347,9566
9347,23122
9355,9566
9355,9612
9355,26866
9566,9586
9566,9612
9566,17541
9586,9612
9586,9876
9586,9879
9612,9876
9612,9879
9612,15981
9876,9879
