Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,163
FINANCEINSURANCE,314
REALESTATERENTAL,80
SCIENTIFICTECHNICAL,275
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,118
EDUCATION,0
HEALTHCARE,2113
ART,138
FOOD,3581
OTHER,224
