Age,Number
AGE_0_9,19951
AGE_10_19,21333
AGE_20_29,14285
AGE_30_39,18858
AGE_40_49,18927
AGE_50_59,18267
AGE_60_69,13309
AGE_70_79,7935
AGE_80,3522
