Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,308
FINANCEINSURANCE,0
REALESTATERENTAL,232
SCIENTIFICTECHNICAL,1096
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,2035
EDUCATION,130
HEALTHCARE,5727
ART,479
FOOD,3640
OTHER,1302
