Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,46
FINANCEINSURANCE,66
REALESTATERENTAL,94
SCIENTIFICTECHNICAL,74
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,33
EDUCATION,0
HEALTHCARE,551
ART,0
FOOD,482
OTHER,0
