Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,73
FINANCEINSURANCE,228
REALESTATERENTAL,13
SCIENTIFICTECHNICAL,0
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,49
EDUCATION,0
HEALTHCARE,0
ART,73
FOOD,474
OTHER,142
