Age,Number
AGE_0_9,2872
AGE_10_19,2690
AGE_20_29,2028
AGE_30_39,2437
AGE_40_49,2231
AGE_50_59,2790
AGE_60_69,3043
AGE_70_79,1616
AGE_80,1324
