Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,200
FINANCEINSURANCE,1098
REALESTATERENTAL,327
SCIENTIFICTECHNICAL,940
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,692
EDUCATION,0
HEALTHCARE,1926
ART,297
FOOD,1645
OTHER,598
