Age,Number
AGE_0_9,9266
AGE_10_19,10107
AGE_20_29,9673
AGE_30_39,9558
AGE_40_49,10035
AGE_50_59,11677
AGE_60_69,9930
AGE_70_79,5575
AGE_80,3136
