Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,76
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,233
FINANCEINSURANCE,408
REALESTATERENTAL,24
SCIENTIFICTECHNICAL,259
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,340
EDUCATION,0
HEALTHCARE,1911
ART,0
FOOD,880
OTHER,182
