Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,0
FINANCEINSURANCE,174
REALESTATERENTAL,46
SCIENTIFICTECHNICAL,0
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,117
EDUCATION,0
HEALTHCARE,1069
ART,30
FOOD,1467
OTHER,175
