Age,Number
AGE_0_9,1942
AGE_10_19,2784
AGE_20_29,2600
AGE_30_39,2307
AGE_40_49,2783
AGE_50_59,3722
AGE_60_69,4405
AGE_70_79,2576
AGE_80,1420
