Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,15
FINANCEINSURANCE,144
REALESTATERENTAL,32
SCIENTIFICTECHNICAL,69
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,55
EDUCATION,0
HEALTHCARE,367
ART,0
FOOD,1136
OTHER,0
