Age,Number
AGE_0_9,7287
AGE_10_19,7611
AGE_20_29,6655
AGE_30_39,7457
AGE_40_49,6937
AGE_50_59,9116
AGE_60_69,8564
AGE_70_79,4512
AGE_80,2906
