Age,Number
AGE_0_9,5788
AGE_10_19,6172
AGE_20_29,5362
AGE_30_39,5722
AGE_40_49,5200
AGE_50_59,7416
AGE_60_69,6837
AGE_70_79,4047
AGE_80,2143
