Age,Number
AGE_0_9,2592
AGE_10_19,3336
AGE_20_29,2967
AGE_30_39,2841
AGE_40_49,3280
AGE_50_59,4292
AGE_60_69,4609
AGE_70_79,2577
AGE_80,1937
