Age,Number
AGE_0_9,2712
AGE_10_19,2605
AGE_20_29,2256
AGE_30_39,2405
AGE_40_49,2470
AGE_50_59,3782
AGE_60_69,4420
AGE_70_79,3224
AGE_80,1438
