Age,Number
AGE_0_9,1191
AGE_10_19,1291
AGE_20_29,1045
AGE_30_39,1009
AGE_40_49,1131
AGE_50_59,1212
AGE_60_69,1115
AGE_70_79,802
AGE_80,590
