Age,Number
AGE_0_9,136831
AGE_10_19,153790
AGE_20_29,159647
AGE_30_39,161320
AGE_40_49,162870
AGE_50_59,183666
AGE_60_69,157226
AGE_70_79,88855
AGE_80,51135
