Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,1656
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,20328
FINANCEINSURANCE,40090
REALESTATERENTAL,16580
SCIENTIFICTECHNICAL,98747
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,94905
EDUCATION,4742
HEALTHCARE,107384
ART,10440
FOOD,59174
OTHER,19132
