Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,111
FINANCEINSURANCE,404
REALESTATERENTAL,71
SCIENTIFICTECHNICAL,580
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,368
EDUCATION,16
HEALTHCARE,1663
ART,106
FOOD,1264
OTHER,261
