Age,Number
AGE_0_9,4390
AGE_10_19,4372
AGE_20_29,4139
AGE_30_39,4505
AGE_40_49,3883
AGE_50_59,5020
AGE_60_69,5335
AGE_70_79,3640
AGE_80,2536
