Age,Number
AGE_0_9,18362
AGE_10_19,19488
AGE_20_29,20524
AGE_30_39,17989
AGE_40_49,20030
AGE_50_59,22708
AGE_60_69,20533
AGE_70_79,11617
AGE_80,6923
