Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,385
FINANCEINSURANCE,848
REALESTATERENTAL,172
SCIENTIFICTECHNICAL,478
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,780
EDUCATION,22
HEALTHCARE,3093
ART,313
FOOD,2856
OTHER,774
