"GEO_ID","NAME","K202402_001E","K202402_001EA","K202402_001M","K202402_001MA","K202402_002E","K202402_002EA","K202402_002M","K202402_002MA","K202402_003E","K202402_003EA","K202402_003M","K202402_003MA","K202402_004E","K202402_004EA","K202402_004M","K202402_004MA","K202402_005E","K202402_005M","K202402_005MA","K202402_005EA","K202402_006E","K202402_006EA","K202402_006M","K202402_006MA","K202402_007E","K202402_007EA","K202402_007M","K202402_007MA","K202402_008E","K202402_008EA","K202402_008M","K202402_008MA","K202402_009E","K202402_009EA","K202402_009M","K202402_009MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Employee of private company workers","Annotation of Estimate!!Total:!!Employee of private company workers","Margin of Error!!Total:!!Employee of private company workers","Annotation of Margin of Error!!Total:!!Employee of private company workers","Estimate!!Total:!!Self-employed in own incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Self-employed in own incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Private not-for-profit wage and salary workers","Annotation of Estimate!!Total:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Annotation of Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Local government workers","Margin of Error!!Total:!!Local government workers","Annotation of Margin of Error!!Total:!!Local government workers","Annotation of Estimate!!Total:!!Local government workers","Estimate!!Total:!!State government workers","Annotation of Estimate!!Total:!!State government workers","Margin of Error!!Total:!!State government workers","Annotation of Margin of Error!!Total:!!State government workers","Estimate!!Total:!!Federal government workers","Annotation of Estimate!!Total:!!Federal government workers","Margin of Error!!Total:!!Federal government workers","Annotation of Margin of Error!!Total:!!Federal government workers","Estimate!!Total:!!Self-employed in own not incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Unpaid family workers","Annotation of Estimate!!Total:!!Unpaid family workers","Margin of Error!!Total:!!Unpaid family workers","Annotation of Margin of Error!!Total:!!Unpaid family workers",
"0500000US25021","Norfolk County, Massachusetts","376467","null","6627","null","245445","null","6616","null","13263","null","1957","null","56988","null","3933","null","27680","3169","null","null","11396","null","1920","null","4650","null","1039","null","16517","null","2368","null","528","null","293","null",
"0500000US25023","Plymouth County, Massachusetts","276611","null","6109","null","180279","null","5402","null","9146","null","1726","null","30151","null","3059","null","24871","2502","null","null","11313","null","2073","null","4119","null","1094","null","16368","null","2388","null","364","null","328","null",
"0500000US25025","Suffolk County, Massachusetts","419269","null","6740","null","264374","null","7804","null","8425","null","1767","null","83955","null","5243","null","26167","3323","null","null","15426","null","2327","null","6119","null","1399","null","14237","null","2425","null","566","null","476","null",
"0500000US25027","Worcester County, Massachusetts","435748","null","7128","null","293261","null","6961","null","9363","null","1759","null","47179","null","4286","null","36417","2787","null","null","19595","null","2386","null","6593","null","1445","null","22797","null","2675","null","543","null","335","null",
"0500000US26005","Allegan County, Michigan","57297","null","2072","null","43245","null","2294","null","2001","null","722","null","3982","null","833","null","3383","924","null","null","1208","null","565","null","618","null","522","null","2851","null","694","null","9","null","17","null",
"0500000US26007","Alpena County, Michigan","12491","null","724","null","8857","null","890","null","437","null","249","null","1096","null","395","null","734","401","null","null","391","null","246","null","257","null","180","null","719","null","340","null","0","null","181","null",
"0500000US26009","Antrim County, Michigan","10242","null","579","null","6626","null","758","null","395","null","212","null","996","null","429","null","969","415","null","null","222","null","148","null","157","null","117","null","877","null","344","null","0","null","181","null",
"0500000US26015","Barry County, Michigan","27233","null","1815","null","20138","null","1735","null","607","null","302","null","2508","null","828","null","1641","586","null","null","435","null","257","null","456","null","356","null","1448","null","576","null","0","null","181","null",
"0500000US26017","Bay County, Michigan","49381","null","1987","null","35879","null","2403","null","501","null","256","null","5100","null","1175","null","2837","826","null","null","1291","null","536","null","397","null","263","null","3376","null","877","null","0","null","181","null",
"0500000US26021","Berrien County, Michigan","70344","null","2447","null","48838","null","2616","null","2737","null","747","null","7885","null","1227","null","4886","996","null","null","1451","null","546","null","566","null","321","null","3919","null","816","null","62","null","70","null",
"0500000US26023","Branch County, Michigan","19251","null","1469","null","14417","null","1408","null","428","null","192","null","965","null","355","null","972","300","null","null","379","null","223","null","215","null","139","null","1640","null","565","null","235","null","175","null",
"0500000US26025","Calhoun County, Michigan","58539","null","2720","null","40200","null","2773","null","844","null","372","null","7307","null","1316","null","4828","1136","null","null","1683","null","729","null","1824","null","664","null","1824","null","560","null","29","null","47","null",
