Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,71
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,245
FINANCEINSURANCE,432
REALESTATERENTAL,165
SCIENTIFICTECHNICAL,432
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,583
EDUCATION,23
HEALTHCARE,3662
ART,185
FOOD,1915
OTHER,456
