Age,Number
AGE_0_9,9861
AGE_10_19,10938
AGE_20_29,10679
AGE_30_39,11769
AGE_40_49,10661
AGE_50_59,13376
AGE_60_69,13159
AGE_70_79,7400
AGE_80,4797
