Age,Number
AGE_0_9,1865
AGE_10_19,1877
AGE_20_29,1605
AGE_30_39,1609
AGE_40_49,1696
AGE_50_59,2085
AGE_60_69,2219
AGE_70_79,1470
AGE_80,649
